이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,점수,등급
김용민,더불어민주당,법제사법위원회,경기 남양주시병/경기 남양주시병,10,30,40,2,70,B+
박덕흠,국민의힘,행정안전위원회,충북 보은군옥천군영동군/충북 보은군옥천군영동군괴산군/충북 보은군옥천군영동군괴산군/충북 보은군옥천군영동군괴산군,0,50,50,4,70,B+
서범수,국민의힘,"여성가족위원회, 기후위기 특별위원회, 행정안전위원회, 예산결산특별위원회",울산 울주군/울산 울주군,0,50,50,4,70,B+
임종득,국민의힘,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",경북 영주시영양군봉화군,0,60,60,2,70,B+
고민정,더불어민주당,"교육위원회, 예산결산특별위원회",서울 광진구을/서울 광진구을,0,50,50,3,65,B+
김선민,조국혁신당,보건복지위원회,비례대표,0,60,60,1,65,B+
민병덕,더불어민주당,"정무위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경기 안양시동안구갑/경기 안양시동안구갑,0,50,50,3,65,B+
박주민,더불어민주당,"보건복지위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",서울 은평구갑/서울 은평구갑/서울 은평구갑,0,50,50,3,65,B+
윤준병,더불어민주당,농림축산식품해양수산위원회,전북 정읍시고창군/전북 정읍시고창군,0,60,60,1,65,B+
임오경,더불어민주당,문화체육관광위원회,경기 광명시갑/경기 광명시갑,0,50,50,3,65,B+
조지연,국민의힘,"환경노동위원회, 기후위기 특별위원회, 예산결산특별위원회, 국회운영위원회",경북 경산시,0,50,50,3,65,B+
최민희,더불어민주당,과학기술정보방송통신위원회,비례대표/경기 남양주시갑,0,60,60,1,65,B+
강민국,국민의힘,정무위원회,경남 진주시을/경남 진주시을,0,40,40,4,60,B+
김영호,더불어민주당,교육위원회,서울 서대문구을/서울 서대문구을/서울 서대문구을,0,40,40,4,60,B+
배현진,국민의힘,문화체육관광위원회,서울 송파구을/서울 송파구을,0,40,40,4,60,B+
이소영,더불어민주당,"기후위기 특별위원회, 예산결산특별위원회, 기획재정위원회",경기 의왕시과천시/경기 의왕시과천시,0,40,40,4,60,B+
이원택,더불어민주당,"농림축산식품해양수산위원회, 산불피해지원대책 특별위원회",전북 김제시부안군/전북 군산시김제시부안군을,0,50,50,2,60,B+
이해민,조국혁신당,과학기술정보방송통신위원회,비례대표,0,50,50,2,60,B+
장경태,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 법제사법위원회",서울 동대문구을/서울 동대문구을,0,50,50,2,60,B+
권칠승,더불어민주당,행정안전위원회,경기 화성시병/경기 화성시병/경기 화성시병,0,50,50,1,55,B
김남희,더불어민주당,"보건복지위원회, 여성가족위원회, 연금개혁 특별위원회",경기 광명시을,0,40,40,3,55,B
김원이,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",전남 목포시/전남 목포시,0,40,40,3,55,B
김종양,국민의힘,"국토교통위원회, 예산결산특별위원회",경남 창원시의창구,0,40,40,3,55,B
김주영,더불어민주당,환경노동위원회,경기 김포시갑/경기 김포시갑,0,50,50,1,55,B
김현,더불어민주당,과학기술정보방송통신위원회,비례대표/경기 안산시을,0,40,40,3,55,B
유용원,국민의미래,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",비례대표,0,40,40,3,55,B
이재정,더불어민주당,외교통일위원회,비례대표/경기 안양시동안구을/경기 안양시동안구을,0,40,40,3,55,B
이철규,국민의힘,산업통상자원중소벤처기업위원회,강원 동해시삼척시/강원 동해시태백시삼척시정선군/강원 동해시태백시삼척시정선군,0,40,40,3,55,B
주철현,더불어민주당,농림축산식품해양수산위원회,전남 여수시갑/전남 여수시갑,0,40,40,3,55,B
모경종,더불어민주당,"행정안전위원회, 연금개혁 특별위원회",인천 서구병,0,40,40,2,50,B
박성훈,국민의힘,"국회운영위원회, 기획재정위원회",부산 북구을,0,40,40,2,50,B
윤상현,국민의힘,환경노동위원회,인천 남구을/인천 남구을/인천 남구을/인천 동구미추홀구을/인천 동구미추홀구을,0,40,40,2,50,B
한민수,더불어민주당,과학기술정보방송통신위원회,서울 강북구을,0,40,40,2,50,B
강승규,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",서울 마포구갑/충남 홍성군예산군,0,30,30,3,45,B
고동진,국민의힘,행정안전위원회,서울 강남구병,0,30,30,3,45,B
김미애,국민의힘,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",부산 해운대구을/부산 해운대구을,0,30,30,3,45,B
김위상,국민의미래,"환경노동위원회, 예산결산특별위원회",비례대표,0,40,40,1,45,B
김태호,국민의힘,외교통일위원회,경남 김해시을/경남 김해시을/경남 산청군함양군거창군합천군/경남 양산시을,0,30,30,3,45,B
문진석,더불어민주당,"국토교통위원회, 국회운영위원회",충남 천안시갑/충남 천안시갑,0,30,30,3,45,B
박정하,국민의힘,문화체육관광위원회,강원 원주시갑/강원 원주시갑,0,30,30,3,45,B
서지영,국민의힘,교육위원회,부산 동래구,0,30,30,3,45,B
어기구,더불어민주당,농림축산식품해양수산위원회,충남 당진시/충남 당진시/충남 당진시,0,40,40,1,45,B
윤영석,국민의힘,"연금개혁 특별위원회, 기획재정위원회",경남 양산시/경남 양산시갑/경남 양산시갑/경남 양산시갑,0,30,30,3,45,B
최수진,국민의미래,"과학기술정보방송통신위원회, 국회운영위원회",비례대표,0,30,30,3,45,B
최형두,국민의힘,과학기술정보방송통신위원회,경남 창원시마산합포구/경남 창원시마산합포구,0,30,30,3,45,B
허영,더불어민주당,"정무위원회, 국회운영위원회",강원 춘천시철원군화천군양구군갑/강원 춘천시철원군화천군양구군갑,0,30,30,3,45,B
강준현,더불어민주당,정무위원회,세종특별자치시을/세종특별자치시을,0,30,30,2,40,B
김도읍,국민의힘,국토교통위원회,부산 북구강서구을/부산 북구강서구을/부산 북구강서구을/부산 강서구,0,30,30,2,40,B
김상훈,국민의힘,정무위원회,대구 서구/대구 서구/대구 서구/대구 서구,0,30,30,2,40,B
김석기,국민의힘,외교통일위원회,경북 경주시/경북 경주시/경북 경주시,0,30,30,2,40,B
김장겸,국민의미래,과학기술정보방송통신위원회,비례대표,0,30,30,2,40,B
김현정,더불어민주당,정무위원회,경기 평택시병,0,30,30,2,40,B
유동수,더불어민주당,정무위원회,인천 계양구갑/인천 계양구갑/인천 계양구갑,0,30,30,2,40,B
윤종오,진보당,"국토교통위원회, 국회운영위원회",울산 북구/울산 북구,0,30,30,2,40,B
이성권,국민의힘,"정보위원회, 행정안전위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",부산광역시 부산진구을/부산 사하구갑,0,30,30,2,40,B
임미애,더불어민주연합,"농림축산식품해양수산위원회, 여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",비례대표,0,30,30,2,40,B
김준형,조국혁신당,외교통일위원회,비례대표,0,30,30,1,35,C+
문대림,더불어민주당,농림축산식품해양수산위원회,제주 제주시갑,0,30,30,1,35,C+
박수현,더불어민주당,문화체육관광위원회,충남 공주시/충남 공주시부여군청양군,10,0,10,1,35,C+
박찬대,더불어민주당,정무위원회,인천 연수구갑/인천 연수구갑/인천 연수구갑,0,30,30,1,35,C+
안도걸,더불어민주당,"기획재정위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",광주 동구남구을,0,30,30,1,35,C+
이성윤,더불어민주당,법제사법위원회,전북 전주시을,0,30,30,1,35,C+
이재강,더불어민주당,외교통일위원회,경기 의정부시을,0,30,30,1,35,C+
이재명,더불어민주당,,인천 계양구을/인천 계양구을,10,0,10,1,35,C+
이훈기,더불어민주당,"과학기술정보방송통신위원회, 국회운영위원회",인천 남동구을,0,30,30,1,35,C+
허종식,더불어민주당,산업통상자원중소벤처기업위원회,인천 동구미추홀구갑/인천 동구미추홀구갑,0,30,30,1,35,C+
강경숙,조국혁신당,교육위원회,비례대표,0,20,20,2,30,C+
강훈식,더불어민주당,,충남 아산시을/충남 아산시을/충남 아산시을,0,20,20,2,30,C+
권영진,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",서울 노원구을/대구 달서구병,0,20,20,2,30,C+
김기현,국민의힘,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,0,20,20,2,30,C+
김성환,더불어민주당,산업통상자원중소벤처기업위원회,서울 노원구병/서울 노원구병/서울 노원구을,0,20,20,2,30,C+
김은혜,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",경기 성남시분당구갑/경기 성남시분당구을,0,20,20,2,30,C+
문정복,더불어민주당,교육위원회,경기 시흥시갑/경기 시흥시갑,0,20,20,2,30,C+
박성준,더불어민주당,교육위원회,서울 중구성동구을/서울 중구성동구을,0,20,20,2,30,C+
박지혜,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",경기 의정부시갑,0,20,20,2,30,C+
서미화,더불어민주연합,"국회운영위원회, 보건복지위원회",비례대표,0,20,20,2,30,C+
서천호,국민의힘,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 산불피해지원대책 특별위원회",경남 사천시남해군하동군,0,20,20,2,30,C+
안철수,국민의힘,외교통일위원회,서울 노원구병/서울 노원구병/경기 성남시분당구갑/경기 성남시분당구갑,0,20,20,2,30,C+
위성곤,더불어민주당,"행정안전위원회, 기후위기 특별위원회",제주 서귀포시/제주 서귀포시/제주 서귀포시,0,20,20,2,30,C+
윤호중,더불어민주당,보건복지위원회,경기도 구리시/경기 구리시/경기 구리시/경기 구리시/경기 구리시,0,20,20,2,30,C+
이상휘,국민의힘,과학기술정보방송통신위원회,경북 포항시남구울릉군,0,20,20,2,30,C+
임광현,더불어민주연합,,비례대표,0,20,20,2,30,C+
전재수,더불어민주당,산업통상자원중소벤처기업위원회,부산 북구강서구갑/부산 북구강서구갑/부산 북구갑,0,20,20,2,30,C+
전현희,더불어민주당,법제사법위원회,비례대표/서울 강남구을/서울 중구성동구갑,0,20,20,2,30,C+
조인철,더불어민주당,"과학기술정보방송통신위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 국회운영위원회",광주 서구갑,0,20,20,2,30,C+
추경호,국민의힘,정무위원회,대구 달성군/대구 달성군/대구 달성군,0,20,20,2,30,C+
강선우,더불어민주당,"연금개혁 특별위원회, 외교통일위원회",서울 강서구갑/서울 강서구갑,0,20,20,1,25,C+
배준영,국민의힘,"국토교통위원회, 예산결산특별위원회",인천 중구강화군옹진군/인천 중구강화군옹진군,0,20,20,1,25,C+
복기왕,더불어민주당,국토교통위원회,충청남도 아산시/충남 아산시갑,0,20,20,1,25,C+
서영석,더불어민주당,보건복지위원회,경기 부천시정/경기 부천시갑,0,20,20,1,25,C+
오기형,더불어민주당,"기획재정위원회, 연금개혁 특별위원회",서울 도봉구을/서울 도봉구을,0,20,20,1,25,C+
오세희,더불어민주연합,"산업통상자원중소벤처기업위원회, 국회운영위원회",비례대표,0,20,20,1,25,C+
이개호,더불어민주당,보건복지위원회,전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군,0,20,20,1,25,C+
이광희,더불어민주당,행정안전위원회,충북 청주시서원구,0,20,20,1,25,C+
이인선,국민의힘,"기획재정위원회, 여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",대구 수성구을/대구 수성구을,0,20,20,1,25,C+
이재관,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",충남 천안시을,0,20,20,1,25,C+
조정훈,국민의힘,"교육위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",비례대표/서울 마포구갑,0,20,20,1,25,C+
차규근,조국혁신당,"기획재정위원회, 산불피해지원대책 특별위원회",비례대표,0,20,20,1,25,C+
한창민,더불어민주연합,정무위원회,비례대표,0,20,20,1,25,C+
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",경기 안양시만안구/경기 안양시만안구,0,10,10,1,15,C
강명구,국민의힘,농림축산식품해양수산위원회,경북 구미시을,0,10,10,1,15,C
강선영,국민의미래,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",비례대표,0,10,10,1,15,C
김동아,더불어민주당,산업통상자원중소벤처기업위원회,서울 서대문구갑,0,10,10,1,15,C
김민석,더불어민주당,국방위원회,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 영등포구을,0,10,10,1,15,C
김성회,더불어민주당,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 예산결산특별위원회, 기후위기 특별위원회",경기 고양시갑,0,10,10,1,15,C
김소희,국민의미래,"환경노동위원회, 기후위기 특별위원회",비례대표,0,10,10,1,15,C
김준혁,더불어민주당,"교육위원회, 국회운영위원회",경기 수원시정,0,10,10,1,15,C
김태선,더불어민주당,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 동구,0,10,10,1,15,C
나경원,국민의힘,법제사법위원회,비례대표/서울 중구/서울 동작구을/서울 동작구을/서울 동작구을,0,10,10,1,15,C
노종면,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",인천 부평구갑,0,10,10,1,15,C
맹성규,더불어민주당,국토교통위원회,인천 남동구갑/인천 남동구갑/인천 남동구갑,0,10,10,1,15,C
박균택,더불어민주당,법제사법위원회,광주 광산구갑,0,10,10,1,15,C
박범계,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 정무위원회",대전 서구을/대전 서구을/대전 서구을/대전 서구을,0,10,10,1,15,C
박선원,더불어민주당,"국방위원회, 정보위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",인천 부평구을,0,10,10,1,15,C
박성민,국민의힘,산업통상자원중소벤처기업위원회,울산 중구/울산 중구,0,10,10,1,15,C
박수영,국민의힘,기획재정위원회,부산 남구갑/부산 남구,0,10,10,1,15,C
박은정,조국혁신당,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",비례대표,0,10,10,1,15,C
박정현,더불어민주당,"행정안전위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",대전 대덕구,0,10,10,1,15,C
박지원,더불어민주당,"법제사법위원회, 정보위원회",전남 목포시/전남 목포시/전남 목포시/전남 해남군완도군진도군,0,10,10,1,15,C
박홍근,더불어민주당,기획재정위원회,서울 중랑구을/서울 중랑구을/서울 중랑구을/서울 중랑구을,0,10,10,1,15,C
백종헌,국민의힘,보건복지위원회,부산 금정구/부산 금정구,0,10,10,1,15,C
서왕진,조국혁신당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회, 예산결산특별위원회",비례대표,0,10,10,1,15,C
양부남,더불어민주당,행정안전위원회,광주 서구을,0,10,10,1,15,C
염태영,더불어민주당,"국토교통위원회, 기후위기 특별위원회",경기 수원시무,0,10,10,1,15,C
용혜인,더불어민주연합,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",비례대표/비례대표,0,10,10,1,15,C
우재준,국민의힘,"환경노동위원회, 연금개혁 특별위원회",대구 북구갑,0,10,10,1,15,C
윤후덕,더불어민주당,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",경기 파주시갑/경기 파주시갑/경기 파주시갑/경기 파주시갑,0,10,10,1,15,C
이건태,더불어민주당,국토교통위원회,경기 부천시병,0,10,10,1,15,C
이만희,국민의힘,"2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 농림축산식품해양수산위원회",경북 영천시청도군/경북 영천시청도군/경북 영천시청도군,0,10,10,1,15,C
이양수,국민의힘,정무위원회,강원 속초시고성군양양군/강원 속초시인제군고성군양양군/강원 속초시인제군고성군양양군,0,10,10,1,15,C
이용우,더불어민주당,환경노동위원회,인천 서구을,0,10,10,1,15,C
임호선,더불어민주당,농림축산식품해양수산위원회,충북 증평군진천군음성군/충북 증평군진천군음성군,0,10,10,1,15,C
장종태,더불어민주당,보건복지위원회,대전 서구갑,0,10,10,1,15,C
전진숙,더불어민주당,"보건복지위원회, 여성가족위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",광주 북구을,0,10,10,1,15,C
조승환,국민의힘,농림축산식품해양수산위원회,부산 중구영도구,0,10,10,1,15,C
천준호,더불어민주당,국토교통위원회,서울 강북구갑/서울 강북구갑,0,10,10,1,15,C
최보윤,국민의미래,보건복지위원회,비례대표,0,10,10,1,15,C
최은석,국민의힘,기획재정위원회,대구 동구군위군갑,0,10,10,1,15,C
한기호,국민의힘,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 예산결산특별위원회",강원 철원군화천군양구군인제군/강원 철원군화천군양구군인제군/강원 춘천시철원군화천군양구군을/강원 춘천시철원군화천군양구군을,0,10,10,1,15,C
곽상언,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",서울 종로구,0,0,0,0,0,D
권성동,국민의힘,보건복지위원회,강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시,0,0,0,0,0,D
권향엽,더불어민주당,"산업통상자원중소벤처기업위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",전남 순천시광양시곡성군구례군을,0,0,0,0,0,D
김건,국민의미래,외교통일위원회,비례대표,0,0,0,0,0,D
김교흥,더불어민주당,문화체육관광위원회,인천광역시 서구강화군갑/인천 서구갑/인천 서구갑,0,0,0,0,0,D
김기웅,국민의힘,"외교통일위원회, 예산결산특별위원회",대구 중구남구,0,0,0,0,0,D
김기표,더불어민주당,법제사법위원회,경기 부천시을,0,0,0,0,0,D
김남근,더불어민주당,"정무위원회, 예산결산특별위원회, 국회운영위원회",서울 성북구을,0,0,0,0,0,D
김대식,국민의힘,"교육위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",부산 사상구,0,0,0,0,0,D
김민전,국민의미래,교육위원회,비례대표,0,0,0,0,0,D
김병기,더불어민주당,"정보위원회, 국회운영위원회, 국방위원회",서울 동작구갑/서울 동작구갑/서울 동작구갑,0,0,0,0,0,D
김병주,더불어민주당,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",비례대표/경기 남양주시을,0,0,0,0,0,D
김상욱,국민의힘,"예산결산특별위원회, 외교통일위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",울산 남구갑,0,0,0,0,0,D
김승원,더불어민주당,"정무위원회, 예산결산특별위원회",경기 수원시갑/경기 수원시갑,0,0,0,0,0,D
김영환,더불어민주당,기획재정위원회,경기 고양시정,0,0,0,0,0,D
김용태,국민의힘,"교육위원회, 기후위기 특별위원회, 연금개혁 특별위원회",경기 포천시가평군,0,0,0,0,0,D
김우영,더불어민주당,과학기술정보방송통신위원회,서울 은평구을,0,0,0,0,0,D
김재섭,국민의힘,"정무위원회, 연금개혁 특별위원회",서울 도봉구갑,0,0,0,0,0,D
김재원,조국혁신당,"문화체육관광위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",비례대표,0,0,0,0,0,D
김종민,새로운미래,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",충남 논산시계룡시금산군/충남 논산시계룡시금산군/세종특별자치시갑,0,0,0,0,0,D
김태년,더불어민주당,기획재정위원회,경기도 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구,0,0,0,0,0,D
