의원명,정당,위원회,법안ID,법안명,발의자,위원회명,상태,발의유형
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7,한국공항공사법 일부개정법률안,강대식의원 등 12인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_O2N4L0M5I3H0F1E5M3N5M4K9J6M0L9,소득세법 일부개정법률안,강대식의원 등 12인,기획재정위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_D2L4J0I5D3L0K1J6H0Q7Q0P1O1N4V8,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,강대식의원 등 11인,국토교통위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2A4B0Z6A1Y0Z1X0F3G3E3F4D5E9C9,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_X2T4R0S6Q1Q0P1Q0X3Y1X4V8V8T6V8,6·25참전 소년소녀병 보상에 관한 법률안,강대식의원 등 10인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_T2B4A0A6Y1Z0Y1Y0G3E2F4D8E6C0D0,국가유공자 등 단체 설립에 관한 법률 일부개정법률안,강대식의원 등 10인,정무위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_R2X4Y0W6V1D8C1B0B1A9P2O4N6L5U7,병역법 일부개정법률안,강대식의원 등 11인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_V2T4Q0O6N1O8M1V0T1S7W4V3U5C2A1,예비군법 일부개정법률안,강대식의원 등 12인,국방위원회,,공동발의
강대식,국민의힘,국방위원회,PRC_M2K4J0R6S1Q8P1O0W1W8V5U2S4O5P2,병역법 일부개정법률안,강대식의원 등 13인,국방위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",PRC_O2X4W0T6B2A1Z1Z3Y2G2D0C0K5M8J6,산업안전보건법 일부개정법률안,강득구의원 등 11인,환경노동위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강명구,국민의힘,농림축산식품해양수산위원회,PRC_A2Y4W0V6W1T7R1P8O0W8X1W9Y1X8W7,자본시장과 금융투자업에 관한 법률 일부개정법률안,강명구의원 등 11인,정무위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_I2O4Q0O5N3U0T0A9Z2X0U3D8A2H9G9,조세특례제한법 일부개정법률안,강민국의원 등 13인,기획재정위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_X2U4D0C5F3E0B0J9J1G8P4O3L4H1I4,우주개발 진흥법 일부개정법률안,강민국의원 등 13인,과학기술정보방송통신위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_N2M4T0S5P3Y0X0U9D1A9Z4W5F6E4B3,지방세특례제한법 일부개정법률안,강민국의원 등 13인,행정안전위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_B2A4I0I6G1H1F1G4E4F6B2Z4A7Y1Z3,예금자보호법 일부개정법률안,강민국의원 등 12인,정무위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_I2O4Q0O5N3U0T0A9Z2X0U3D8A2H9G9,조세특례제한법 일부개정법률안,강민국의원 등 13인,기획재정위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_X2U4D0C5F3E0B0J9J1G8P4O3L4H1I4,우주개발 진흥법 일부개정법률안,강민국의원 등 13인,과학기술정보방송통신위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_N2M4T0S5P3Y0X0U9D1A9Z4W5F6E4B3,지방세특례제한법 일부개정법률안,강민국의원 등 13인,행정안전위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_B2A4I0I6G1H1F1G4E4F6B2Z4A7Y1Z3,예금자보호법 일부개정법률안,강민국의원 등 12인,정무위원회,,공동발의
강민국,국민의힘,정무위원회,PRC_I2O4Q0O5N3U0T0A9Z2X0U3D8A2H9G9,조세특례제한법 일부개정법률안,강민국의원 등 13인,기획재정위원회,,공동발의
