naas_cd,naas_nm,naas_ch_nm,naas_en_nm,birth_dt,party,district,district_type,committee,belonging_committee,election_type,gender,phone,email,website,office,photo_url,bio
TRE2429O,강훈식,姜勳植,KANG HOONSIK,1973-10-24,더불어민주당/더불어민주당/더불어민주당,충남 아산시을/충남 아산시을/충남 아산시을,지역구/지역구/지역구,,정무위원회,3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/TRE2429O.jpg,"(현) 제20,21,22대 국회의원(3선) (현) 제22대 국회 정무위원회 위원 - 국회 예산결산특별위원회 간사(전) - 국회 보건복지위원회 간사(전) - 국회 산업통상자원중소벤처기업위원회 간사(전) - 더불어민주당 수석대변인(전) - 더불어민주당 충남도당위원장(전) - 국회 예산결산위원회 위원(전) - 국회 국토교통위원회 위원(전) - 국회 아동&middot;여성&middot;인권정책포럼 연구책임위원(전) - 국회 미세먼지대책특별위원회 위원(전) - 국회 운영위원회 위원(전) - 더불어민주당 원내대변인(전) - 더불어민주당 전략기획위원장(전) - 동국대언론정보대학원 신문방송학 겸임교수(전) - 뉴욕주립대학교 한국학연구소 객원연구원(전) - 건국대학교 총학생회장(전) - 건국대 경영학 학사(전) [충남 아산 지역사무실] 충남 아산시 배방읍 배방로 22 삼영프라자 601호 041-548-5245"
HS39431V,고동진,高東眞,KOH DONGJIN,1961-03-26,국민의힘,서울 강남구병,지역구,행정안전위원회,행정안전위원회,초선,남,02-784-8450,dj_koh7163@naver.com,,의원회관 1014호,https://www.assembly.go.kr/static/portal/img/openassm/new/8e0621184727401ea5537cbeb1557776.jpg,현) 국민의힘 AI 3대강국 도약 특별위원회 소위원장(AI 컴퓨팅 인프라) 현) 제22대 국회의원(서울 강남구병/국민의힘) 전) 국민의힘 인재영입위원장 전) 삼성전자 대표이사
WCD5518S,고민정,高旼廷,KO MINJUNG,1979-08-23,더불어민주당/더불어민주당,서울 광진구을/서울 광진구을,지역구/지역구,"교육위원회, 예산결산특별위원회","교육위원회, 예산결산특별위원회",재선,여,02-784-4630,kominjung21@gmail.com,https://blog.naver.com/kominjung629,의원회관 629호,https://www.assembly.go.kr/static/portal/img/openassm/new/d0dbd25d7bc04abdbf2775200feacebb.jpg,"[경력] - 제21대&middot;22대 국회의원 (서울 광진구을/더불어민주당) - 제22대 국회 교육위원회 위원 (현) - 제22대 국회 예산결산특별위원회 위원 (현) - 더불어민주당 인권위원장 (현) - 제22대 국회 운영위원회 위원 - 더불어민주당 언론자유대책특별위원회 위원장 - 더불어민주당 윤석열정권 외교참사 거짓말 대책위원회 위원장 - 제21대 국회 과학기술정보방송통신위원회 위원 - 더불어민주당 최고위원 - 더불어민주당 원내전략부대표 - 더불어민주당 사회복지특별위원회 위원 - 제21대 국회 예산결산특별위원회 위원 - 제21대 국회 보건복지위원회 위원 - 더불어민주당 정책위원회 상임부의장 - 제21대 국회 산업통상자원중소벤처기업위원회 위원 - 대통령비서실 대변인 - 대통령비서실 부대변인, 비서관 - 대통령비서실 부대변인, 선임행정관 - KBS 아나운서실 아나운서 [지역사무실 고캠] 서울특별시 광진구 아차산로 399, 2층 T: 02-455-0629 / F: 02-446-0629"
REG96285,곽규택,郭圭澤,KWAK KYUTAEK,1971-04-12,국민의힘,부산 서구동구,지역구,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회","법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",초선,남,02-784-5970,kktlaw@naver.com,blog.naver.com/kktlaw,의원회관 528호,https://www.assembly.go.kr/static/portal/img/openassm/new/fd163330861a4c5691ba7cfd0ad39ea6.jpg,"[주요 약력] 부산지방검찰청 동부지청 부장검사 서울중앙지방검찰청 부장검사 동아대학교 법학전문대학원 겸임교수 부산대신중학교, 부산디지털고등학교, 부산중학교, 경남여자중학교 고문변호사 학교법인 선화학원 이사 동아고등학교 학교운영위원장 서구청 고문변호사 대한변협 장애인인권지킴이단 변호사 부산변회 중소기업 지원변호사단 변호사 한국교총 교권보호 고문변호사 부산시장 보궐선거 국민의힘 부산선거대책위원회 법률지원단장 [주요 학력] 서울대학교 사법학과 서울대학교 행정대학원 행정학 석사 워싱턴 주립대학교 로스쿨 방문학자 사법연수원(25기)"
FIE6569O,곽상언,郭相彦,KWAK SANGEON,1971-11-18,더불어민주당,서울 종로구,지역구,"산업통상자원중소벤처기업위원회, 예산결산특별위원회","산업통상자원중소벤처기업위원회, 예산결산특별위원회",초선,남,02-784-2890,jongno.kwak@gmail.com,https://blog.naver.com/kwaksangeon,의원회관 327호,https://www.assembly.go.kr/static/portal/img/openassm/new/6719771fc8dd4a80a824ac6716aa854b.jpg,[학력] - 서울대학교 국제경제학과 졸업 (경제학사) - 서울대학교 대학원 법학과 졸업 (법학석사) - 뉴욕대학교(NYU) 로스쿨 졸업 (Master of Laws) [경력] - 현) 종로구 지역위원회 위원장 (더불어민주당 서울특별시당) - 현) 김대중재단 종로구지회 회장 - 제43회 사법시험 합격 (사법연수원 제33기 수료) - 법무법인 인강 대표변호사 - 경희대학교 법무대학원 겸임교수 - 민주연구원 상근 부원장 - 더불어민주당 제20대 대통령후보 선거대책위원회 대변인 - 더불어민주당 원내부대표 - 더불어민주당 검찰개혁TF &middot; 언론개혁TF 위원
7469929V,구자근,具滋根,KOO JAKEUN,1967-10-09,미래통합당/국민의힘,경북 구미시갑/경북 구미시갑,지역구/지역구,산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,재선,남,02-784-3190,can929292@naver.com,http://blog.naver.com/can929292,의원회관 408호,https://www.assembly.go.kr/static/portal/img/openassm/new/009fb2abbde940579802b3494f132e85.jpg,[학력] 동국대학교 법과대학 졸업 (법학과 석사) [약력] 제21&middot;22대 국회의원 (경북 구미시갑/국민의힘) 2025.02 ~ 국민의힘 중앙위원회 수석부의장 2024.08 ~ 제22대 국회 예산결산특별위원회 간사 2024.05 ~ 제22대 국회 기획재정위원회 위원 2023.02 ~ 2024.05 국회 첨단전략산업특별위원회 위원 2023.02 ~ 2023.12 국민의힘 당대표비서실장 2021.06 ~ 2022.06 국민의힘 반도체 특별위원회 위원 2021.05 ~ 2022.05 국민의힘 원내부대표 2020.11 ~ 2021.06 국민의힘 정책위원회 제2정조위원회 부위원장 2020.10 ~ 2024.05.국민의힘 약자와의 동행위원회 정책동행분과 위원 2020.07 ~ 2021.06 국민의힘 정책위원회 소상공인 살리기 특별위원회 위원 2020.05 ~ 2024.05 제21대 국회 산업통상자원중소벤처기업위원회 위원 2010.07 ~ 2014.06 제9대&middot;10대 경상북도의회 의원 2006.07 ~ 2010.03 제5대 구미시의회 의원
GDG1847Z,권성동,權性東,KWEON SEONGDONG,1960-04-29,한나라당/새누리당/새누리당/무소속/국민의힘,강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시,지역구/지역구/지역구/지역구/지역구,보건복지위원회,보건복지위원회,5선,남,02-784-3396~8 / 788-2469,ksdd22@naver.com,https://web.facebook.com/ksdd22,의원회관 820호,https://www.assembly.go.kr/static/portal/img/openassm/new/af3b64d8d85b45dcbccefb6646589be9.png,중앙국민학교 졸업 경포중학교 졸업 강릉명륜고등학교 졸업 중앙대학교 법학과 졸업 제27회 사법시험 합격 제17기 사법연수원 수료 해군 중위 전역 (전) 인천지검 특수부 부장검사 (전) 대통령실 법무비서관 (전) 새누리당 사무총장 (전) 국회 법제사법위원회 위원장 (전) 국회 운영위원회 위원장 (전) 국민의힘 사무총장 (전) 국민의힘 원내대표 (현) 강원도 국회의원협의회 회장 (현) 제 18~21대 강릉시 국회의원
LG63087O,권영세,權寧世,KWON YOUNGSE,1959-02-24,한나라당/한나라당/한나라당/미래통합당/국민의힘,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,지역구/지역구/지역구/지역구/지역구,"정보위원회, 기획재정위원회","정보위원회, 기획재정위원회",5선,남,02-784-3103,yskys2020@naver.com,https://blog.naver.com/yskys2020,의원회관 450호,https://www.assembly.go.kr/static/portal/img/openassm/new/f58fcbb4b2f64d05a335da7099f679e7.jpg,전)국민의힘 비상대책위원장 전)통일부장관 전)주중대사 전)국회 정보위원장 서울대학교 법학과 및 동 대학원 졸업(법학석사) 미 하버드 케네디스쿨 졸업(행정학석사)
LYY5513O,권영진,權泳臻,KWON YOUNGJIN,1962-12-10,한나라당/국민의힘,서울 노원구을/대구 달서구병,지역구/지역구,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회","국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",재선,남,02-784-3136,kyjtongil@naver.com,https://blog.naver.com/mywaykyj,의원회관 713호,https://www.assembly.go.kr/static/portal/img/openassm/new/3d91cfa36267481a8f860816e419f426.png,<학력> - 고려대학교 대학원 정치학 석&middot;박사 - 고려대학교 영어영문학 학사 - 청구고등학교 졸업 <경력> 현) 제22대 국회 국토교통위원회 간사 현) 제22대 국회 운영위원회 위원 현) 제22대 국회의원 (대구 달서구병) 전) 제13대 대한민국시도지사협의회 회장 전) 제33&middot;34대 대구광역시 시장 전) 제18대 국회의원 (서울 노원구을) 전) 서울특별시 정무부시장
C7E79345,권칠승,權七勝,KWON CHILSEUNG,1965-11-18,더불어민주당/더불어민주당/더불어민주당,경기 화성시병/경기 화성시병/경기 화성시병,지역구/지역구/지역구,행정안전위원회,행정안전위원회,3선,남,02-784-1250,anotherk7@gmail.com,http://blog.naver.com/k7wins,의원회관 325호,https://www.assembly.go.kr/static/portal/img/openassm/new/732a1459c8554b999d8c248d703d8fa2.png,"■ 학력 - 경북고등학교 졸업 - 고려대학교 경제학과 졸업 ■ 주요 약력 (현) 더불어민주당 중소기업특별위원장 (현) 더불어민주당 국가경제자문회의 수석부의장 (전) 독립기념관 비상임이사 (전) 더불어민주당 수석대변인 (전) 법제사법위원회 간사 (전) 제3대 중소벤처기업부 장관 (전) 더불어민주당 수석사무부총장 (전) 더불어민주당 홍보소통위원장 (전) 더불어민주당 원내부대표 (전) 더불어민주당 정책위원회 상임부의장 (전) 경기도의원(제8 &middot; 9대, 예산결산특별위원장) (전) 노무현 대통령비서실 행정관 (전) 김대중 대통령후보 대선기획단 (전) 삼성그룹 (공채28기)"
EFU76868,권향엽,權香葉,KWON HYANGYUP,1968-02-12,더불어민주당,전남 순천시광양시곡성군구례군을,지역구,"산업통상자원중소벤처기업위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회","산업통상자원중소벤처기업위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",초선,여,02-784-1270,"ironkwon24@gmail.com (회관), ironregion24@gmail.com (지역)",https://blog.naver.com/khy2955,의원회관 832호,https://www.assembly.go.kr/static/portal/img/openassm/new/e25ff63bda9c446c81919549ba09c6c6.jpg,현) 제22대 국회의원 (전남 순천시&middot;광양시&middot;곡성군&middot;구례군 을 / 더불어민주당) 제22대 국회 전반기 산업통상자원중소벤처기업위원회위원 전) 2020.6.~ 2022.5. 국회부의장 비서실장 2019.5. ~ 2020.1. 대통령비서실 인사수석실 균형인사비서관 2023.02. ~ 2023.12. 더불어민주당 여성리더십센터 소장 2017.8 ~ 2019.5. 더불어민주당 여성국 국장 2016.3.~ 2018.7. 더불어민주당 중앙위원회 중앙위원 2017.2. ~ 2017.8. 더불어민주당 디지털미디어국 국장 2013.6. ~ 2014.10. 민주정책연구원 민주아카데미 실장 1995.10. ~ 2002.7. 새정치국민회의 중앙당 여성국 기획부장
TQP7167T,김건,金建,KIM GUNN,1966-10-10,국민의미래,비례대표,비례대표,외교통일위원회,외교통일위원회,초선,남,02-784-5076,gkim338@naver.com,,의원회관 338,https://www.assembly.go.kr/static/portal/img/openassm/new/6feef8ae3b40491c838984336e5efd6e.jpg,■ 경력 現 제22대 국회의원 (국민의힘/비례대표) 前 외교부 한반도평화교섭본부장 前 주영국대한민국대사관 대사 前 외교부 차관보 前 주밴쿠버대한민국총영사관 총영사 ■ 학력 서울대학교 정치학과 학사 미국 뉴욕주립대학교버펄로대학 대학원 정치학 석사
X1K3667J,김교흥,金敎興,KIM KYOHEUNG,1960-08-30,열린우리당/더불어민주당/더불어민주당,인천광역시 서구강화군갑/인천 서구갑/인천 서구갑,지역구/지역구/지역구,문화체육관광위원회,문화체육관광위원회,3선,남,02-784-1366 / 032-565-0806,kimkh4u@naver.com,,문체위원장실 본청 511호 / 의원회관 720호,https://www.assembly.go.kr/static/portal/img/openassm/new/c2640d735bdc4520ad3838183f97ad54.jpg,"- 22대 전반기(2025) 문화체육관광위원회 위원장 - 17&middot;21&middot;22대 국회의원 - 前 더불어민주당 인천광역시당 위원장 - 제30대 국회사무총장 - 前 정세균 국회의장 비서실장 - 前 인천광역시 정무부시장 - 前 대한체육회 부회장(생활체육) - 前 중소기업연구원 원장 - 前 인천대, 인하대, 가천대 초빙교수 - 86년도 인천대 총학생회장 - 동국대 대학원 정치학 박사과정 수료"
HE08888N,김기웅,金基雄,KIM KIWOONG,1961-09-15,국민의힘,대구 중구남구,지역구,"외교통일위원회, 예산결산특별위원회","외교통일위원회, 예산결산특별위원회",초선,남,02-784-8630(국회) 053-476-9563(지역),assembly0915@naver.com,https://blog.naver.com/assembly0915,의원회관 432호,https://www.assembly.go.kr/static/portal/img/openassm/new/4e032a885456487ebe70f143ef373f92.png,■ 학력 - 서울대학교 외교학과 정치학 학사 - 서울대학교 대학원 외교학과 정치학 석사 ■ 경력 - 現 제22대 국회의원 (대구 중구남구) - 現 제22대 국회 외교통일위원회 위원 - 現 제22대 국회예산결산특별위원회 위원 - 前 통일부 차관 - 前 대통령실 통일비서관 - 前 통일부 남북회담본부장 - 前 통일부 통일정책실장 - 前 통일부 남북협력지구발전기획단장 - 前 외교부 대북정책협력과장 - 前 통일부 정책기획과장
3CC88975,김기표,金起杓,KIM GIPYO,1972-12-07,더불어민주당,경기 부천시을,지역구,법제사법위원회,법제사법위원회,초선,남,02-784-4840,kimgipyo24@naver.com,https://blog.naver.com/bucheon_lawyer,의원회관 324호,https://www.assembly.go.kr/static/portal/img/openassm/new/f7a2f2d87cc04bd4a7e7715119a9dc6e.png,□ 학력 - 서울대학교 법과대학 공법학과 졸업 □ 주요약력 - (현) 제22대 국회 부천시(을) 국회의원(법제사법위원회 위원) - (현) 민주연구원 이사 - (전) 제22대 국회 국토교통위원회 위원 - (전) 부천시 고문변호사 - (전) 청와대 민정수석실 반부패비서관 - (전) 대검찰청 검찰연구관 - (전) 특수전사령부 검찰관&middot;군판사 - 제30기 사법연수원 수료 - 제40회 사법시험 합격
