naas_cd,naas_nm,naas_ch_nm,naas_en_nm,birth_dt,party,district,district_type,committee,belonging_committee,election_type,gender,phone,email,website,office,photo_url,bio,era
1PK82111,강기정,姜琪正,KANG Gi Jung,1964-12-03,열린우리당/통합민주당/민주통합당,광주광역시 북구갑/광주 북구갑/광주 북구갑,지역구/지역구/지역구,,"예산결산특별위원회, 한·미자유무역협정(FTA)체결대책특별위, 국민연금제도개선특별위원회, 정치개혁특별위원회, 국회운영위원회, 보건복지위원회/예산결산특별위원회, 연금제도개선특별위원회, 감사원장(양건)임명동의에 관한 인사청문특별위원회, 국토해양위원회, 국회운영위원회, 정치개혁특별위원회, 윤리특별위원회, 행정안전위원회, 미국산쇠고기수입위생조건개정관련한·미기술협의의과정등실태규명국정조사특별위원회/공적연금 강화와 노후빈곤 해소를 위한 특별위원회, 공무원연금개혁 특별위원회, 헌법재판소 재판관 후보자를 겸한 헌법재판소장(이동흡) 임명동의에 관한 인사청문특별위원회, 정무위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/1PK82111.jpg,,"제17대, 제18대, 제19대"
GEC46472,강기천,姜起千,,1927-11-11,민주공화당,"전남 목포시,무안,신안군",지역구,,"예산결산특별위원회, 건설위원회, 보건사회위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/GEC46472.jpg,,제9대
W118686V,강기필,姜基弼,"Kang, Ki-pil",1934-02-08,한국국민당,,전국구,,"국회운영위원회, 예산결산특별위원회, 문교공보위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/W118686V.jpg,,제11대
U1C89473,강길만,姜佶滿,,1928-12-15,무소속,"전남 순천시,구례,승주군",지역구,,"예산결산특별위원회, 상공위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/U1C89473.jpg,,제9대
XQ98168F,강길부,姜吉夫,KANG GHILBOO,1942-06-05,열린우리당/무소속/새누리당/무소속,울산광역시 울주군/울산 울주군/울산 울주군/울산 울주군,지역구/지역구/지역구/지역구,,"투자활성화및일자리창출을위한특별위, 건설교통위원회, 예산결산특별위원회, 정무위원회/국토해양위원회, 기후변화대책특별위원회, 기획재정위원회, 예산결산특별위원회/교육문화체육관광위원회, 미래창조과학방송통신위원회, 정보위원회, 기획재정위원회/산업통상자원중소벤처기업위원회, 4차 산업혁명 특별위원회, 예산결산특별위원회, 교육문화체육관광위원회",4선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/XQ98168F.jpg,,"제17대, 제18대, 제19대, 제20대"
41F70646,강달수,姜達秀,,1905-05-18,부산15구락부,경남 하동,지역구,,,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/41F70646.jpg,,제헌
L2I9861C,강대식,姜大植,KANG DAESIK,1959-11-02,미래통합당/국민의힘,대구 동구을/대구 동구군위군을,지역구/지역구,국방위원회,국방위원회,재선,남,02-784-5275,kds21341@naver.com,,의원회관 341호,https://www.assembly.go.kr/static/portal/img/openassm/new/d1fe9f0902d84f0ba74f721d3298be7f.png,[학력] 송정초등학교 안심중학교 경북대학교 사범대학 부속고등학교 영남대학교 경영대학원 경영학 석사 영남대학교 대학원 경영학 박사 [경력] 현) 제21대 국회 국토교통위원회 위원 현) 제21대 국회 예산결산위원회 위원 현) 제21대 국회의원 (대구 동구을/국민의힘) 현) 대구경북신공항 여야정 협의체 위원 현) 국민의힘 천안함 생존 장병과 유가족 지원을 위한 TF 위원 현) 한중차세대리더포럼 회원 현) 국회 아시아정당국제회의 의원연맹 회원 현) 국민의힘 약자와의동행위원회 위원 현) 국민의힘 호남동행 국회의원 모임 위원 전) 국민의힘 조직부총장 전) 제8회전국동시지방선거 국민의힘 중앙선대위 조직본부장 전) 6.1국회의원 재&middot;보궐선거 국민의힘 공천관리위원 전) 국회 정치개혁특별위원회&middot;공직선거법 및 지방선거구제개편심사소위원회 위원 전) 국회 국방위원회 및 예산심사소위&middot;법안심사소위 위원 전) 국민의힘 원내부대표 전) 국민의힘 제20대 대선 중앙선대본부 직능총괄본부 지방자치지원본부장 전) 국민의힘 제20대 대선 대구선대위 조직강화본부장 전) 국민의힘 대선 경선 유승민 후보 대외협력본부장 전) 국민의힘 초선의원 모임 운영위원 전) 대구광역시 동구 구청장 전) 대구광역시 동구의회 의장 전) 대구광역시 동구의회 의원 전) 대구광역시 동구문화재단 이사장,"제21대, 제22대"
1WP9325U,강동원,姜東遠,KANG Dong Won,1953-01-20,통합진보당,전북 남원시순창군,지역구,,"국토교통위원회, 예산결산특별위원회, 지속가능발전 특별위원회, 감사원장(황찬현) 임명동의에 관한 인사청문특별위원회, 미래창조과학방송통신위원회, 국회운영위원회, 국회쇄신 특별위원회, 문화체육관광방송통신위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/1WP9325U.jpg,,제19대
8P37634C,강득구,姜得求,KANG DEUKGU,1963-05-27,더불어민주당/더불어민주당,경기 안양시만안구/경기 안양시만안구,지역구/지역구,"환경노동위원회, 기후위기 특별위원회","환경노동위원회, 기후위기 특별위원회",재선,남,02-784-2747~9,mainsail440@daum.net,http://blog.naver.com/dulipapa,의원회관 814호,https://www.assembly.go.kr/static/portal/img/openassm/new/0410a0c8e24b474cac2fd79c7700ca2f.jpg,"2024. 5. ~ 현재 국회 환경노동위원회 위원 2024. 2. ~ 현재 김대중재단 경기도지부회장 2024. 2. ~ 현재 자치분권경기연대 상임대표 2024. 4. ~ 2024. 7. 더불어민주당 수석사무부총장 2023. 4. ~ 2024. 4. 더불어민주당 정책위원회 상임부의장 2023. 2. ~ 2024. 5. 국회 인구위기특별위원회 위원 2020. 7. ~ 2024. 5. 국회 교육위원회 위원(전반기, 후반기) 2020. 5. ~ 현재 국회의원, 더불어민주당 안양시만안구 지역위원장 2022. 4. ~ 2023. 5. 국회 운영위원회 위원 2022. 3. ~ 2023. 4. 더불어민주당 원내부대표 2021. 7. ~ 2022. 6. 국회 예산결산특별위원회 위원 2018. 10. ~ 2019. 5. 민주연구원 자치발전연구센터 본부장 2016. 10. ~ 2018. 3. 경기도 연정부지사 2014. 7. ~ 2016. 1. 경기도의회 의장 2010. 7. ~ 2014. 6. 경기도의회 의원(2013. 7. ~ 2014. 6. 민주당 대표) 1998. 7. ~ 2002. 6. 경기도의회 의원","제21대, 제22대"
9901388T,강명구,姜明求,KANG MYOUNGGU,1977-06-07,국민의힘,경북 구미시을,지역구,농림축산식품해양수산위원회,농림축산식품해양수산위원회,초선,남,02-784-2844~6,myounggu.power@gmail.com,https://blog.naver.com/0909kmg,의원회관 1018호,https://www.assembly.go.kr/static/portal/img/openassm/new/9f095290d68b47638983c7db100c2eb0.jpg,□ 학력 영국 맨체스터대학교 대학원 정치학-행정과 공공정책 석사 (2008.09.-2009.11.) 경희대학교 대학원 정치학 석사(2007) □ 주요경력 現 제22대 국회의원(경북 구미시을) 現 국민의힘 포털 불공정개혁TF 위원 現 국민의힘 AI반도체특별위원회 위원 現 국민의힘 재정세재개편특별위원회 위원 前 국민의힘 비상대책위원장 비서실장 前 국민의힘 원내부대표 前 대통령비서실 국정기획비서관 前 경희대학교 정치외교학과 객원교수 前 미국 존스홉킨스대학교 국제관계대학원 SAIS 객원연구원 前 여의도연구원 정책연구실 객원연구원,제22대
OSC50359,강명순,姜命順,"Kang, Myung Soon",1952-03-29,한나라당,비례대표,비례대표,,"장애인에 대한 성폭력 등 인권침해 방지대책특별위원회, 저출산고령화대책특별위원회, 민생대책특별위원회, 예산결산특별위원회, 보건복지위원회, 보건복지가족위원회, 민생안정대책특별위원회",초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/OSC50359.jpg,,제18대
6CP1084K,강문봉,姜文奉,,1923-10-24,민정당/유신정우회,,전국구/통일주체국민회의,,"상공위원회, 예산결산특별위원회, 외무위원회/국방위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/6CP1084K.jpg,,"제6대, 제9대"
VM54496B,강문용,康文用,,1922-03-01,유신정우회,,통일주체국민회의,,"예산결산특별위원회, 경제과학위원회, 내무위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/VM54496B.jpg,,제9대
GX22581L,강민국,姜旻局,KANG MINKUK,1971-03-03,미래통합당/국민의힘,경남 진주시을/경남 진주시을,지역구/지역구,정무위원회,정무위원회,재선,남,02-784-0797,strongwind01@naver.com,https://www.youtube.com/@strongwind01,의원회관 1007호,https://www.assembly.go.kr/static/portal/img/openassm/new/70f21f66d1ea471192858adb6f379299.png,"[학력] - 경남대학교 대학원 법학과 졸업 (법학박사) [경력] - 현) 제21, 22대 국회의원 (경남 진주시을) - 현) 국민의힘 경상남도당 위원장 - 현) 제22대 국회 정무위원회 간사 - 전) 제21대 대통령선거 국민의힘 김문수 후보 중앙선거대책위원회 공보단장 - 전) 국민의힘 경상남도당 4.2 재&middot;보궐선거 공천관리위원회 위원장 - 전) 국민의힘 경상남도당 4.10 재&middot;보궐선거 공천관리위원회 위원장 - 전) 제22대 국회 운영위원회 위원 - 전) 제21대 국회 정무위원회 위원 - 전) 국민의힘 원내대변인 - 전) 국민의힘 원내부대표 - 전) 제20대 대통령선거 국민의힘 윤석열 후보 중앙선거대책위원회 종합지원총괄본부 당무조정본부장 - 전) 제20대 대통령선거 국민의힘 윤석열 후보 중앙선거대책위원회 경상남도본부장 - 전) 국회 정치개혁특별위원회 위원 - 전) 국회 중앙선거관리위원회 위원 선출에 관한 인사청문특별위원회 위원 - 전) 제21대 국회 예산결산특별위원회 위원 - 전) 국민의힘 경상남도당 4.5 재보궐선거 공천관리위원회 위원장 - 전) 국민의힘 수석대변인 - 전) 국민의힘 경상남도당 수석부위원장 - 전) 제10대 &middot;제11대 경상남도의회 의원 - 전) 제11대 전반기 경상남도의회 건설소방위원회 위원장","제21대, 제22대"
P2N50879,강민정,姜旼姃,KANG MINJUNG,1961-04-26,열린민주당,비례대표,비례대표,,,초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/P2N50879.jpg,현) 국회 교육위원회 위원 전) 더불어민주당 원내소통부대표 전) 21대 국회 전반기 교육위원회 전) 21대 국회 전반기 운영위원회 전) 21대 국회전반기 예산&bull;결산특별위원회 전) 교육부 민주시민교육자문위원회 위원 전) 교육자치정책협의회 위원 전) 징검다리교육공동체 상임이사 전) 서울시교육청 혁신교육지구 정책연구교사 전) 북서울중학교 혁신부장 초선 (21대),제21대
0QT6563E,강병규,姜秉奎,,1931-07-19,민주공화당/민주공화당/민주공화당,서울 영등포구/서울 영등포구,전국구/지역구/지역구,,"상공위원회, 경제의안정과성장에관한긴급명령심사특별위원회, 경제과학위원회, 보건사회위원회, 외무위원회/예산결산특별위원회, 국방위원회, 국회운영위원회, 내무위원회/문교공보위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/0QT6563E.jpg,,"제8대, 제9대, 제10대"
60490713,강병원,姜炳遠,KANG BYUNGWON,1971-07-09,더불어민주당/더불어민주당,서울 은평구을/서울 은평구을,지역구/지역구,,,재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/60490713.jpg,"1971년 7월 9일 생 서울대학교 농경제학과 졸업 (경제학사) [경력] 1994 서울대학교 총학생회장 1998 ~ 1999 ㈜대우인터네셔널 무역부문 2002 제16대 대통령선거 노무현 대통령 후보 수행비서 2003 제16대 대통령직 인수위원회 행정관 2003 ~ 2007 노무현대통령 대통령비서실 청와대 행정관 2011 ㈜글로원씨앤티 대표이사 2011.1 ~2017.7 &#039사람사는세상 노무현재단&#039 기획위원 2011 민주당 전략기획위원회 부위원장 2012.08 ~ 2013.05 민주통합당 홍보위원회 부위원장 2012 제18대 대통령선거 문재인 민주통합당 대통령후보 직능특보실 부실장 2015.04 ~ 2015.12 새정치민주연합 부대변인 2015.12 ~ 2016.08 더불어민주당 부대변인 2016.03 ~ 더불어민주당 서울 은평(을) 지역위원장 2016.05 ~ 제20대 국회의원 (더불어민주당 / 서울 은평구을) 2016.05 ~ 2017.05 제20대 국회 전반기 국회운영위원회 위원 2016.05 ~ 2018.04 제20대 국회 전반기 환경노동위원회 위원 2016.05 ~ 2017.05 더불어민주당 원내부대표 2016.05 ~ 2016.10 더불어민주당 <가계부채TF> 간사 2016.10 ~ 더불어민주당 서울시당 을지키는민생실천위원회(을지로위원회) 위원장 2016.11 ~ 2018.08 더불어민주당 전국청년위원회 운영위원 2016.12 ~ 2018.08 더불어민주당 환경특별위원회 위원장 2017.03 ~ 2017.05 문재인 더불어민주당 대통령후보 환경노동특보단장, 유세본부 부본부장, 종합상황본부 단장 2017.03 ~ 2018.08 더불어민주당 중앙당 을지키는민생실천위원회(을지로위원회) 운영위원 2017.06 ~ 2018.08 더불어민주당 정책위원회 부의장 2017.06 ~ 2018.05 제20대 국회 전반기 예산결산특별위원회 위원 2017.07 ~ 사람사는세상 노무현재단 상임운영위원 2017.07 ~ 2018.08 더불어민주당 생활화학제품안전특별위원회 위원장 2017.08 ~ 2018.08 더불어민주당 적폐청산위원회 위원 2017.10 ~ 문재인 대통령 특사(2017 태국 국왕 장례식) 2017.11 헌법재판소장 이진성 후보자 인사청문특별위원회 위원 2017.12 ~ 2018.05 제20대 국회 미세먼지대책 특별위원회 위원 2018.01 ~ 제20대 국회 운영위원회 위원 2018.05 ~ 더불어민주당 원내대변인 2018.07 ~ 제20대 국회 후반기 기획재정위원회 위원 2018.10 ~ 더불어민주당 자치분권정책협의회 지방혁신균형발전추진단 추진위원 2018.10 ~ 더불어민주당 동북아평화협력특별위원회 위원 2019.02 ~ 더불어민주당 도시재생특별위원회 위원 2019.11 ~ 문재인대통령 특별수행원(2019 아세안+3 정상회의) 2020.04 ~ 제21대 국회의원 (더불어민주당 / 서울 은평구을) 2020.06 ~ 제21대 국회 보건복지위원회 위원 2020.03~ 더불어민주당 코로나19 국난극복위원회 마스크공급확충팀장 2020.09~ 더불어민주당 정책위원회 선임부의장 2020.09~ 더불어민주당 미래전환 K-뉴딜위원회 디지털분과위원장 2021.03~ 제21대 국회 보건복지위원회 위원 2021.03~ 박영선 더불어민주당 서울시장 후보 종합상황본부장 2021.06 ~더불어민주당 미래전환 K-뉴딜위원회 상임부위원장","제20대, 제21대"
XF75222M,강보성,姜普性,"Kang, Bo-sung",1930-11-05,민주한국당/통일민주당,"제주 제주,서귀포시,북,남제주군/제주 서귀포시,남제주군",지역구/지역구,,"예산결산특별위원회, 농수산위원회/경제과학위원회, 통일정책특별위원회, 예산결산특별위원회, 지역감정해소특별위원회, 농림수산위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/XF75222M.jpg,,"제11대, 제13대"
7PU7009N,강봉균,康奉均,Kang Bong-Kyun,1943-08-13,새천년민주당/열린우리당/통합민주당,전라북도 군산시/전라북도 군산시/전북 군산시,지역구/지역구/지역구,,"정치개혁특별위원회, 환경노동위원회, 재정경제위원회, 공적자금국정조사특별위원회/정보위원회, 국회운영위원회, 예산결산특별위원회, 신행정수도의건설을위한특별조치법위헌결정후속대책및지역균형발전특별위원회, 국회개혁특별위원회, 재정경제위원회, 국무총리(이해찬)임명동의에관한인사청문특별위원회/농림수산식품위원회, 세계박람회지원특별위원회, 2012년 여수세계박람회지원특별위원회, 기획재정위원회, 공기업관련대책특별위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/7PU7009N.jpg,,"제16대, 제17대, 제18대"
8L91524A,강봉옥,姜奉玉,,1902-03-19,자유당,경남 하동,지역구,,"교통체신위원회, 보건사회위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/8L91524A.jpg,,제3대
1TF1001R,강봉용,姜鳳龍,,1915-01-09,민주당,경남 의령,지역구,,내무위원회,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/1TF1001R.jpg,,제5대
RIE23920,강부자,姜富子,Kang Boo-ja,1941-02-08,통일국민당,,전국구,,"환경노동위원회, 예산결산특별위원회, 노동환경위원회, 여성특별위원회, 문화체육공보위원회, 경제과학위원회",초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/RIE23920.jpg,,제14대
35I30124,강삼재,姜三載,"Kang, Sam-jae",1952-07-01,신한민주당/통일민주당/민주자유당/신한국당/한나라당,경남 마산시/경상남도 마산시회원구/경남 마산시회원구/경남 마산시회원구/경상남도 마산시회원구,지역구/지역구/지역구/지역구/지역구,,"문교공보위원회, 예산결산특별위원회, 경제과학위원회/노동위원회, 상공위원회, 농림수산위원회, 교통체신위원회, 예산결산특별위원회, 통일정책특별위원회, 국회운영위원회, 문교공보위원회/보건복지위원회, 상공자원위원회, 정치관계법심의특별위원회, 보건사회위원회, 교통체신위원회/행정자치위원회, 정무위원회, 농림해양수산위원회, 통일외무위원회, 보건복지위원회, 내무위원회, 행정위원회, 법제사법위원회, 환경노동위원회/국방위원회",5선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/35I30124.jpg,,"제12대, 제13대, 제14대, 제15대, 제16대"
U3F5217R,강상욱,姜尙郁,,1927-02-28,민주공화당/민주공화당,서울 동대문구,전국구/지역구,,"상공위원회, 재정경제위원회/예산결산특별위원회, 외무위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/U3F5217R.jpg,,"제6대, 제9대"
IH436704,강석진,姜錫振,KANG SEOGJIN,1959-12-07,새누리당,경남 산청군함양군거창군합천군,지역구,,"농림축산식품해양수산위원회, 국회운영위원회, 보건복지위원회, 예산결산특별위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/IH436704.jpg,,제20대
8I61593E,강석호,姜碩鎬,KANG SEOKHO,1955-12-03,한나라당/새누리당/새누리당,"경북 영양,영덕,봉화,울진군/경북 영양군영덕군봉화군울진군/경북 영양군영덕군봉화군울진군",지역구/지역구/지역구,,"민생대책특별위원회, 일자리만들기특별위원회, 국회운영위원회, 쌀소득 보전 직접지불금 불법수령사건 실태규명을 위한 국정조사특별위원회, 국가균형발전 및 행정중심복합도시대책특별위원회, 농림수산식품위원회, 예산결산특별위원회, 민생안정대책특별위원회/국민안전혁신 특별위원회, 국토교통위원회, 국무총리실 산하 민간인 불법사찰 및 증거인멸 사건의 진상규명을 위한 국정조사특별위원회, 국토해양위원회/농림축산식품해양수산위원회, 외교통일위원회, 정보위원회, 정치개혁 특별위원회, 행정안전위원회, 안전행정위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/8I61593E.jpg,,"제18대, 제19대, 제20대"
ZX891805,강석훈,姜錫勳,KANG Seoghoon,1964-08-15,새누리당,서울 서초구을,지역구,,"서민주거복지 특별위원회, 공적연금 강화와 노후빈곤 해소를 위한 특별위원회, 농림축산식품해양수산위원회, 서민주거복지 특별위원회, 공무원연금개혁 특별위원회, 기획재정위원회, 창조경제활성화 특별위원회, 정무위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/ZX891805.jpg,,제19대
G0M9313H,강선규,姜善圭,,1925-06-19,민정당,경남 마산,지역구,,"재정경제위원회, 농림위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/G0M9313H.jpg,,제6대
KAM9491G,강선명,姜善明,,1905-10-03,무소속,전남 목포,지역구,,재정경제위원회,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/KAM9491G.jpg,,제헌
P5B5484Y,강선영,姜善泳,"Chun, Ja-kang",1925-03-30,민주자유당,,전국구,,"여성특별위원회, 문화체육공보위원회, 대전세계박람회지원특별위원회, 문화공보위원회",초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/P5B5484Y.jpg,,제14대
NQO7187X,강선영,姜善榮,KANG SUNYOUNG,1966-09-24,국민의미래,비례대표,비례대표,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회","국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",초선,여,02-784-1571,335kang@naver.com,https://blog.naver.com/335kang,의원회관 335호,https://www.assembly.go.kr/static/portal/img/openassm/new/89a10eac7851470598886907100ae5ad.jpg,■ 학력 숙명 여자대학교 졸업(행정학사) 서울대학교 행정대학원 정책학 석사 수료 ■ 경력 현) 제22대 국회의원(국민의힘 비례대표) 현) 국민의힘 원내부대표 현) 국회 운영위원회 위원 현) 국민의힘 국가안보위원장 현) 국회 국방위원회 위원 전) 국민의힘 외교안보특별위원회 간사 전) 숙명여자 대학교 안보학교수 (석좌교수) 전) 재향군인회 여성회 자문위원 전) 육군협회 이사 전) 대한민국 육군 항공작전사령관 겸 항공병과장 전) 대한민국 육군 소장 전) 육군항공학교 학교장,제22대
MNZ4401T,강선우,姜仙祐,KANG SUNWOO,1978-06-02,더불어민주당/더불어민주당,서울 강서구갑/서울 강서구갑,지역구/지역구,"연금개혁 특별위원회, 외교통일위원회","연금개혁 특별위원회, 외교통일위원회",재선,여,02-784-5761~3,gangseo.kap@gmail.com,http://blog.naver.com/gangseo-kap,의원회관 418호,https://www.assembly.go.kr/static/portal/img/openassm/new/129a16b2bcda41578deb4f1f1009f297.jpg,□ 학력 - 이화여자대학교 사범대학 영어교육학과 학사 - 이화여자대학교 대학원 소비자인간발달학과 석사 - 미국 위스콘신대학교 매디슨 캠퍼스 인간발달 및 가족학 박사 □ 주요 약력 - (현) 국회 외교통일위원회 위원 - (현) 더불어민주당 세월호특별위원회 부위원장 - (현) 국회 연금개혁특별위원회 위원 - (현) 더불어민주당 연금개혁특별위원회 위원 - (현) 한미의원연맹 이사 - (현) 더불어민주당 국제외교협력본부 본부장 - (현) 더불어민주당 항공참사대책위원회 희생자가족지원단 위원 - (현) 더불어민주당 내란극복&middot;국정안정 특별위원회 국제협력단장 - (현) 더불어민주당 직능대표자회의 부의장 - (현) 더불어민주당 외교안보통일자문회의 부의장 - (현) 더불어민주당 이태원참사특별위원회 위원 - (현) 더불어민주당 의료대란대책특위 부위원장 - (현) 더불어민주당 국제위원회 위원장 - (현) 자립준비청년 멘티-멘토 프로그램 희망디딤돌 캠페인 자문위원 - (전) 제22대 국회 전반기 보건복지위원회 간사 - (전) 더불어민주당 보건복지정책조정위원회 위원장 - (전) 국회국제보건의료포럼 당연직 이사 - (전) 더불어민주당 세계한인민주회의 부의장 - (전) 더불어민주당 초저출생인구위기대응위원회 위원 - (전) 제21대 국회 보건복지위원회 위원 - (전) 더불어민주당 대변인 - (전) 국회 예산결산특별위원회 위원 - (전) 국회 여성가족위원회 위원 - (전) 더불어민주당 원내부대표 - (전) 대통령 직속 국가교육회의 전문위원 - (전) 미국 사우스다코타주립대학교 조교수 [지역사무실] 서울 강서구 강서로 205 케이빌딩 6층 T: 02-2604-2300 / F:02-2604-2309,"제21대, 제22대"
AO340526,강성구,姜成求,Kang Sung-koo,1940-09-12,새천년민주당,경기도 오산시화성군,지역구,,"농림해양수산위원회, 통일외교통상위원회, 보건복지위원회, 일본역사교과서왜곡시정을위한특별위원회, 건설교통위원회, 예산결산특별위원회, 남북관계발전지원특별위원회, 법제사법위원회, 국회운영위원회, 문화관광위원회, 국회상임위원회위원정수에관한규칙개정특별위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/AO340526.jpg,,제16대
